ist	ziel	art	fundort	welle	bemerkung
bestaetigtAm	confirmedAt	api-feld	GET /api/admin/warteliste	1	folgt confirmed_at (Grundstock)
besucher	visitors	api-feld	GET /api/admin/statistiken (heute/letzte7Tage)	1	VORSCHLAG: visitors; Umami-Begriff
betreff	subject	api-feld	PATCH /api/admin/mailvorlagen/:schluessel, POST …/vorschau (Request und Response)	1	folgt mail_templates.subject (Grundstock); Inhalt bleibt deutsch
bis	to	api-feld	PUT /api/tours/:id/edits (audio[].bis)	1	§6.9
bisS	toS	api-feld	PUT /api/tours/:id/edits (medien{id}.trim.bisS)	1	§6.9
dabeiSeit	memberSince	api-feld	GET /api/benutzer/:id/profil	1	VORSCHLAG: memberSince; joinedAt ist schon die Warteliste (joined_at, Grundstock)
dachzeile	kicker	api-feld	PATCH /api/tours/:id, GET /api/tours/:id/editor	1	§6.1; folgt tours.kicker (Grundstock)
dachzeileVorschlaege	kickerSuggestions	api-feld	GET /api/tours/:id/editor	1	VORSCHLAG: kickerSuggestions; kicker ist entschieden, Vorschlaege→suggestions ist neu
datei	file	api-feld	PUT /api/tours/:id/audio/:datei, PUT/GET /api/audio-bibliothek/:datei, POST /api/tours/:id/medien (Response medien[].datei), GET /api/tours/:id/editor (audio[]), PUT /api/tours/:id/edits (audio[].datei)	1	§6.7 (:datei→:file) und §6.9 (audio[].datei→file)
dateien	files	api-feld	GET /api/auth/me (export.dateien), GET /api/audio-bibliothek	1	Bibliotheks-LISTE→files; export.dateien ist ein ZAEHLER→fileCount (wie data_exports.file_count, Grundstock/§6.0) — Fundort dreht die Zielform
dauerFilmS	durationFilmS	api-feld	PUT /api/tours/:id/edits (audio[])	1	§6.9
dauerS	durationS	api-feld	GET /api/tours/:id/editor (medien[].dauerS), PUT /api/tours/:id/edits (momente[].dauerS), GET /api/tours/:id (moments[].dauerS)	1	§6.9; S = Sekunden bleibt Suffix
dieses	current	api-feld	GET /api/auth/me/geraete	1	VORSCHLAG: current; markiert die eigene Sitzung (auth.ts Z. 595)
echtzeit	realtime	api-feld	GET /api/admin/statistiken	1	VORSCHLAG: realtime; aktive Besucher (Umami-Begriff)
eingeladenAm	invitedAt	api-feld	GET /api/admin/warteliste	1	folgt invited_at (Grundstock)
eingeladenCode	invitedCode	api-feld	GET /api/admin/warteliste	1	folgt invited_code (Grundstock)
eingeloestAm	redeemedAt	api-feld	GET /api/admin/einladungen	1	folgt redeemed_at (Grundstock)
eingeloestVon	redeemedBy	api-feld	GET /api/admin/einladungen	1	folgt redeemed_by (Grundstock)
eingetragenAm	joinedAt	api-feld	GET /api/admin/warteliste	1	folgt waitlist.joined_at (Grundstock)
einladung	invitation	api-feld	POST /api/admin/einladungen, POST /api/admin/warteliste/:id/einladen	1	§6.2
einladungen	invitations	api-feld	GET /api/admin/einladungen	1	§6.8
einladungPflicht	invitationRequired	api-feld	GET /api/auth/me, GET /api/admin/einladungen, PATCH /api/admin/einstellungen	1	folgt settings-Schluessel invitation_required (Grundstock)
einstiegS	startS	api-feld	PUT /api/tours/:id/edits (audio[])	1	§6.9; so heisst es im tour.json schon
eintraege	entries	api-feld	GET /api/admin/warteliste, GET /api/admin/protokoll	1	VORSCHLAG: entries; Listenfeld
eintrag	entry	api-feld	POST /api/admin/warteliste/:id/einladen	1	VORSCHLAG: entry; Einzahl zu entries
ende	end	api-feld	PUT /api/tours/:id/edits (trim.ende), GET /api/tours (stats.spur.ende)	1	§6.9; trim.start bleibt (schon englisch)
entfernt	removed	api-feld	Manifest (original/manifest.json; setzt nur der Server bei DELETE media)	1	§6.9 (upload@2); nicht im Upload-Schema, laeuft aber ueber das gespeicherte Austauschformat
erstelltAm	createdAt	api-feld	GET /api/galerie (touren[].erstelltAm), GET /api/admin/einladungen (einladungen[].erstelltAm)	1	folgt created_at (Grundstock)
erstelltVon	createdBy	api-feld	GET /api/admin/einladungen	1	folgt created_by (Grundstock)
export	dataExport	api-feld	GET /api/auth/me, POST /api/auth/me/export	1	§6.1: Datenexport heisst dataExport, nie bloss export (das waere mit dem Video-Export filmExport verwechselbar); Objektfelder darunter eigene Zeilen
externeId	externalId	api-feld	GET /api/tracker/imports (importe[])	1	folgt external_id (Grundstock)
fehlend	missing	api-feld	POST /api/tours/:id/finalize (409)	1	VORSCHLAG: missing; Liste fehlender Dateien im 409
fehler	error	api-feld	alle Fehlerantworten; GET /api/tours (Listenfeld), GET /api/tours/:id, GET /api/tracker/providers, GET /api/tracker/imports	1	§6.7: FELDNAME error, Statuswert failed ist eine eigene Zeile (§6.1); das haeufigste Feld der API
fehler	errorCount	api-feld	GET /api/admin/protokoll (Antwortfeld neben gesamt)	1	Zaehler der Fehler-Eintraege (protokoll.ts zaehle()), nach 6.0 Regel 4 …Count und nicht das Wort als Zahl
fertigAm	finishedAt	api-feld	GET /api/auth/me (export), POST /api/auth/me/export, GET /api/tracker/imports	1	folgt finished_at (Grundstock)
fest	fixed	api-feld	GET /api/admin/benutzer (benutzer[].fest)	1	VORSCHLAG: fixed; per Konfiguration gesetzter Admin, Rolle nicht per DB entziehbar (admin.ts festerAdmin)
filmBisS	filmToS	api-feld	GET /api/tours/:id (audio[].filmBisS)	1	VORSCHLAG: filmToS; bis→to wie in §6.9, filmS-Suffixform bleibt
finaleZiel	finaleTarget	api-feld	PATCH /api/tours/:id, GET /api/tours/:id/editor	1	folgt tours.finale_target (Grundstock)
fotos	photos	api-feld	GET /api/auth/me/speicher (aufteilung.fotos)	1	Speicher-Aufteilung nach Dateiendung: echte Bilddateien, getrennt von videos (server/src/quota.ts artDerDatei). NICHT placedMedia, das zaehlt Fotos UND Videos
fotos	placedMedia	api-feld	GET /api/tours (stats.fotos), GET /api/tours/:id (stats.fotos), GET /api/tracker/imports (tour.fotos)	1	§6.9: stats.fotos und tracker tour.fotos→placedMedia (zaehlt Fotos UND Videos, nie photos); NUR aufteilung.fotos (Speicher, echte Fotodateien)→photos — Fundort dreht die Zielform
frei	free	api-feld	GET /api/auth/me (quota), GET /api/auth/me/speicher	1	VORSCHLAG: free; Quota
fuss	footer	api-feld	PATCH /api/admin/mailvorlagen/:schluessel (bausteine)	1	folgt mail_templates.footer (Grundstock)
geaendertAm	updatedAt	api-feld	GET /api/admin/mailvorlagen (vorlagen[]), GET /api/admin/rueckmeldungen	1	folgt updated_at (Grundstock)
geaendertVon	updatedBy	api-feld	GET /api/admin/mailvorlagen (vorlagen[])	1	folgt updated_by (Grundstock)
gefunden	found	api-feld	POST /api/tracker/:provider/sync	1	VORSCHLAG: found; Zaehler im Sync-Response; Route ohne Aufrufer
geloescht	removed	api-feld	PUT /api/tours/:id/edits (medien{id}.geloescht)	1	§6.9
gemeldetAm	reportedAt	api-feld	GET /api/tracker/imports (importe[])	1	folgt reported_at (Grundstock)
geraet	device	api-feld	POST /api/rueckmeldung (kontext.geraet)	1	§6.2 Geraet→device
geraete	devices	api-feld	GET /api/auth/me/geraete	1	§6.7; Response-Liste
geraetId	deviceId	api-feld	POST /api/push/geraete	1	§6.2 device, mechanisch
gesamt	total	api-feld	GET /api/admin/protokoll, GET /api/admin/statistiken, GET /api/admin/rueckmeldungen (zaehlung.gesamt)	1	VORSCHLAG: total
gesehenAm	seenAt	api-feld	GET /api/tracker/imports (importe[])	1	folgt seen_at (Grundstock)
gestartet	startedAt	api-feld	GET /api/admin/protokoll	1	VORSCHLAG: startedAt; Serverstart-Zeitpunkt
gpsAnker	gpsAnchor	api-feld	GET /api/tours/:id/editor (medien[])	1	anker→anchor (§6.9)
groesse	size	api-feld	GET /api/tours/:id/editor (audio[]), GET /api/audio-bibliothek (dateien[])	1	wie Mail-Platzhalter {{groesse}}→{{size}} (Grundstock)
gueltigTage	validDays	api-feld	POST /api/admin/einladungen, POST /api/admin/warteliste/:id/einladen	1	VORSCHLAG: validDays; Gueltigkeitsdauer in Tagen
heute	today	api-feld	GET /api/admin/statistiken	1	VORSCHLAG: today
hm	elevationGain	api-feld	GET /api/benutzer/:id/profil (kennzahlen.hm)	1	VORSCHLAG: elevationGain; Hoehenmeter-Summe, die Abkuerzung hm ist nur deutsch lesbar
imHintergrund	inBackground	api-feld	POST /api/tracker/:provider/sync	1	VORSCHLAG: inBackground; Zaehler der in den Hintergrund verschobenen Auftraege
importe	imports	api-feld	GET /api/tracker/imports, GET /api/tracker/imports/pending	1	folgt tracker_imports (§6.8); Pfad /api/tracker/imports heisst schon so
ipPraefix	ipPrefix	api-feld	GET /api/auth/me/geraete	1	folgt sessions.ip_prefix (Grundstock)
kamera	camera	api-feld	PUT /api/tours/:id/edits	1	§6.9
kennung	label	api-feld	GET /api/auth/me/geraete	1	VORSCHLAG: label; roher User-Agent bzw. App-Geraetename, die Deutung passiert erst in kontomodell.ts
kennzahlen	stats	api-feld	GET /api/benutzer/:id/profil	1	VORSCHLAG: stats; wie /api/admin/stats (§6.7) und tour.stats
klaenge	audio	api-feld	GET /api/auth/me/speicher (aufteilung)	1	VORSCHLAG: audio; sounds waere ein drittes Wort neben audio/sfx (§6.3a-Linie: kein Synonym-Zoo)
knopf	button	api-feld	PATCH /api/admin/mailvorlagen/:schluessel (bausteine)	1	folgt mail_templates.button (Grundstock)
kontext	context	api-feld	POST /api/rueckmeldung, GET /api/admin/rueckmeldungen	1	folgt feedback.context (Grundstock); saubereKontext bestimmt weiter die erlaubten Schluessel (Datenschutz-Zusage)
laeuftAbAm	expiresAt	api-feld	GET /api/auth/me (export), POST /api/auth/me/export	1	folgt data_exports.expires_at (Grundstock)
lautstaerke	volume	api-feld	PUT /api/tours/:id/edits (audio[])	1	§6.9; im tour.json weiter als gain gerendert (§6.1: volume je Klip, gain gerendert)
letzte7Tage	last7Days	api-feld	GET /api/admin/statistiken	1	VORSCHLAG: last7Days
medien	media	api-feld	GET /api/tours/:id/editor, POST /api/tours/:id/medien (Request und Response), PUT /api/tours/:id/edits (edits.medien)	1	§6.9; gleicht sich an das schon englische media in tour.json/Manifest an
mehr	hasMore	api-feld	GET /api/galerie	1	VORSCHLAG: hasMore; boolean der Paginierung (galerie.ts Z. 91), woertliches more laese sich wie eine Liste
modi	travelModes	api-feld	PUT /api/tours/:id/edits	1	§6.9; Werte walk/bike/… bleiben (§3.4)
modiAutomatisch	travelModesAuto	api-feld	POST /api/tours (Manifest)	1	§6.9
momente	moments	api-feld	PUT /api/tours/:id/edits	1	§6.9; im tour.json schon moments
neu	new	api-feld	POST /api/auth/me/passwort (Request), POST /api/tours/:id/medien (Response), POST /api/tracker/:provider/sync (Response)	1	VORSCHLAG: new; traegt beide Bedeutungen (neues Passwort; Anzahl neu als Zaehler)
notiz	note	api-feld	POST /api/auth/warteliste, GET /api/admin/warteliste (eintraege[].notiz), POST /api/admin/einladungen, GET /api/admin/einladungen, PATCH /api/admin/rueckmeldungen/:id, GET /api/admin/rueckmeldungen	1	§6.7/Grundstock note
nr	no	api-feld	GET /api/admin/protokoll (eintraege[])	1	VORSCHLAG: no; wie die laufende Nummer no der Touren (server/src/ids.ts-Umfeld)
nurFuerDich	ownerOnly	api-feld	GET /api/benutzer/:id/profil	1	VORSCHLAG: ownerOnly; Flag: Profil nicht public, Ansicht nur fuer den Besitzer (galerie.ts Z. 153)
offen	open	api-feld	GET /api/auth/me (registrierung.offen)	1	wie db-wert offen→open (Grundstock/§4.2); der STATUSWERT offen (Rueckmeldungen/Einladungen) ist eine eigene Zeile
ort	location	api-feld	PATCH /api/auth/me/profil, GET /api/auth/me, GET /api/benutzer/:id/profil	1	folgt users.location (Grundstock)
passwort	password	api-feld	POST /api/auth/login, POST /api/auth/register, POST /api/auth/passwort-reset, POST /api/auth/me/email, POST /api/admin/benutzer, PATCH /api/admin/benutzer/:id	1	Request-Feld; Wortform durch §6.7 entschieden (password-reset, me/password)
pfad	path	api-feld	GET /api/admin/statistiken (seiten[].pfad)	1	wie webpfade.ts→web-paths.ts (Grundstock)
pflicht	required	api-feld	POST /api/auth/einladung-pruefen	1	VORSCHLAG: required; Response; analog einladung_pflicht→invitation_required (Grundstock)
plattform	platform	api-feld	POST /api/rueckmeldung (kontext.plattform), POST /api/push/geraete	1	folgt push_devices.platform (Grundstock); war nur Schreibweise
probleme	issues	api-feld	POST /api/admin/mailvorlagen/:schluessel/vorschau, PATCH /api/admin/mailvorlagen/:schluessel (400)	1	VORSCHLAG: issues; Befundliste der Vorlagen-Pruefung
profil	profile	api-feld	GET /api/auth/me	1	§6.7/§6.2; Response-Objekt
quelle	source	api-feld	PUT /api/tours/:id/edits (audio[].quelle), POST /api/tours (media[].quelle), POST /api/tours/:id/medien (medien[].quelle), POST /api/rueckmeldung (Response-frei; Request quelle), GET /api/admin/statistiken (referrer[].quelle)	1	§6.9/Grundstock: als FELDNAME ueberall source; die Werte sind je Fundort verschieden (eigene Zeilen bzw. web/app bleiben, §4.2)
registrierung	registration	api-feld	GET /api/auth/me	1	VORSCHLAG: registration; Response-Objekt, passt zu /api/auth/register; die Newsletter-QUELLE registrierung→signup ist eine andere Stelle (Grundstock)
registrierungOffen	registrationOpen	api-feld	GET /api/admin/einladungen	1	VORSCHLAG: registrationOpen; koppelt an registrierung→registration
reihe	order	api-feld	PUT /api/tours/:id/edits (medien{id}.reihe), GET /api/tours/:id (media[].reihe)	1	§6.9
rolle	role	api-feld	auth/me, Admin	1	§6.7
rolle	role	api-feld	POST /api/auth/login, GET /api/auth/me, POST /api/admin/benutzer, PATCH /api/admin/benutzer/:id, GET /api/admin/benutzer	1	§6.7; Werte nutzer→user, admin bleibt
rueckmeldung	feedback	api-feld	PATCH /api/admin/rueckmeldungen/:id	1	§6.4; Einzelobjekt im PATCH-Response
rueckmeldungen	feedback	api-feld	GET /api/admin/rueckmeldungen	1	§6.4 Rueckmeldung→feedback; Listenfeld, feedback ist unzaehlbar — Einzahl/Mehrzahl fallen zusammen, aber routegetrennt
schirm	screen	api-feld	POST /api/rueckmeldung (kontext.schirm)	1	VORSCHLAG: screen
schluessel	key	api-feld	GET /api/admin/mailvorlagen (vorlagen[].schluessel)	1	§6.7 (:key) und Grundstock key; auch Pfad-Parameter
segmente	segments	api-feld	GET /api/tours/:id/editor	1	Angleichung an das schon englische segments im tour.json
seite	page	api-feld	POST /api/rueckmeldung (kontext.seite)	1	seiten→pages (Grundstock); traegt nur den PFAD, keine Query/Fragmente
seiten	pages	api-feld	GET /api/admin/statistiken	1	seiten→pages wie routes/seiten.ts→routes/pages.ts (Grundstock)
sichtbarkeit	visibility	api-feld	PATCH /api/auth/me/profil, GET /api/auth/me, GET /api/tracker/imports (tour.sichtbarkeit)	1	§6.7; Werte private/public bleiben (schon englisch)
skala	scale	api-feld	PUT /api/tours/:id/edits (kamera[].skala), GET /api/tours/:id (camera[].skala)	1	§6.9
sonstiges	other	api-feld	GET /api/auth/me/speicher (aufteilung)	1	VORSCHLAG: other; Rest-Eimer des Speicherbalkens
speicher	storage	api-feld	GET /api/admin/benutzer (benutzer[].speicher)	1	§6.7
sprache	language	api-feld	POST /api/rueckmeldung (kontext.sprache)	1	VORSCHLAG: language
spur	trackSignature	api-feld	GET /api/tours (stats.spur), GET /api/tours/:id (stats.spur)	1	§6.9: stats.spur→stats.trackSignature; gilt ebenso fuer tours.stats_json (§4.2)
staerke	intensity	api-feld	PUT /api/tours/:id/edits (wetter[].staerke), GET /api/tours/:id/editor (autoWetter[].staerke)	1	§6.9
suchmaschinen	searchIndexing	api-feld	POST /api/auth/me/suchmaschinen, GET /api/auth/me (profil.suchmaschinen)	1	§6.7
titel	title	api-feld	GET /api/audio-bibliothek (verwendetVon[].titel), GET /api/galerie (touren[].titel), GET /api/tracker/imports (tour.titel), PATCH /api/admin/mailvorlagen/:schluessel (bausteine.titel)	1	wie mail_templates.title (Grundstock); ueberall title
titelbild	banner	api-feld	PATCH /api/auth/me/profil, GET /api/auth/me	1	§6.7: Profil-Titelbild→banner; edits.titelbild (Tour)→cover (§6.9) — Fundort dreht die Zielform, zwei englische Woerter fuer ein deutsches (§6.1)
titelbild	cover	api-feld	PUT /api/tours/:id/edits (edits.titelbild)	1	Tour-Titelbild, deshalb cover und nicht banner (6.1); dieselbe Route wie das edits-Feld
titelbildUrl	bannerUrl	api-feld	GET /api/auth/me, PUT /api/auth/me/titelbild, GET /api/benutzer/:id/profil	1	§6.7 (auch titelbildUrl→bannerUrl); war halb deutsch
touren	tours	api-feld	GET /api/galerie, GET /api/benutzer/:id/profil, GET /api/benutzer/:id/profil (kennzahlen.touren), GET /api/admin/benutzer (benutzer[].touren)	1	§6.1 Tour→tour
tourenBleiben	toursKept	api-feld	DELETE /api/tracker/:provider	1	VORSCHLAG: toursKept; Response-Zusage, dass die Touren erhalten bleiben (tracker.ts Z. 153)
typ	type	api-feld	PUT /api/tours/:id/edits (audio[].typ)	1	§6.9; Werte musik→music, sfx bleibt
verbunden	connected	api-feld	GET /api/tracker/providers	1	folgt connected_at (Grundstock); der Redirect-WERT #tracker=verbunden bleibt deutsch (§3.4)
verbundenSeit	connectedAt	api-feld	GET /api/tracker/providers	1	folgt tracker_links.connected_at (Grundstock); woertlich waere connectedSince, das Feld traegt denselben Zeitstempel
verfuegbar	available	api-feld	GET /api/tracker/providers	1	VORSCHLAG: available
verifiziert	verified	api-feld	POST /api/auth/register, GET /api/auth/me, POST /api/admin/benutzer, PATCH /api/admin/benutzer/:id, GET /api/admin/benutzer	1	Request und Response; Wortform durch /api/auth/verify (§6.7) und DB email_verified entschieden
versandRuht	sendingPaused	api-feld	POST /api/auth/me/newsletter	1	VORSCHLAG: sendingPaused; Versand wartet auf bestaetigte Adresse
versatzFilmS	offsetFilmS	api-feld	PUT /api/tours/:id/edits (audio[])	1	§6.9
versuche	attempts	api-feld	GET /api/tracker/imports (importe[])	1	folgt attempts (Grundstock)
verwendetVon	usedBy	api-feld	GET /api/audio-bibliothek (dateien[])	1	VORSCHLAG: usedBy; welche Touren die Bibliotheksdatei nutzen (Loesch-Schutz)
vonS	fromS	api-feld	PUT /api/tours/:id/edits (medien{id}.trim.vonS)	1	§6.9
vorlagen	templates	api-feld	GET/PATCH/DELETE /api/admin/mailvorlagen(:schluessel)	1	folgt mail_templates (§6.8)
warteliste	waitlist	api-feld	GET /api/auth/me (registrierung.warteliste)	1	§6.2/§6.8
wartelisteOffen	waitlistOpen	api-feld	PATCH /api/admin/einstellungen, GET /api/admin/warteliste	1	folgt settings-Schluessel waitlist_open (Grundstock)
wetter	weather	api-feld	PUT /api/tours/:id/edits	1	§6.9; im tour.json schon weather
wiederholbar	retryable	api-feld	GET /api/tracker/imports (importe[])	1	folgt retryable (Grundstock)
wiederverwendet	reused	api-feld	POST /api/tours	1	VORSCHLAG: reused; BOOLEAN, kein Zaehler: idempotenter Upload gibt die vorhandene Tour zurueck (tours.ts Z. 203/223)
wirktRuht	effectPaused	api-feld	POST /api/auth/me/suchmaschinen	1	VORSCHLAG: effectPaused; Schalter gesetzt, wirkt aber erst bei oeffentlichem Profil
zaehlung	counts	api-feld	GET /api/admin/rueckmeldungen	1	VORSCHLAG: counts; Zaehler je Status
zeit	at	api-feld	GET /api/admin/protokoll (eintraege[])	1	VORSCHLAG: at; Zeitstempel wie zeitpunkt→at (Grundstock); der placement-WERT zeit→time ist eine eigene Zeile
ziel	target	api-feld	POST /api/tracker/:provider/connect	1	wie finale_ziel→finale_target (Grundstock); Werte web/app bleiben
zuletztGesehen	lastSeenAt	api-feld	GET /api/auth/me/geraete	1	folgt sessions.last_seen_at (Grundstock)
zuletztSync	lastSyncAt	api-feld	GET /api/tracker/providers	1	folgt last_sync_at (Grundstock); war halb deutsch
zustand	state	api-feld	GET /api/admin/warteliste (eintraege[].zustand), GET /api/admin/einladungen (einladungen[].zustand)	1	wie newsletter_consents.state (Grundstock); die Werte sind eigene Zeilen
/api/admin/benutzer	/api/admin/users	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7; inkl. /:id
/api/admin/benutzer	/api/admin/users	api-pfad	server/src/routes/admin.ts; src/admin/api.ts	1	§6.7; auch …/:id
/api/admin/einladungen	/api/admin/invitations	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7; inkl. /:code
/api/admin/einladungen	/api/admin/invitations	api-pfad	server/src/routes/admin.ts; src/admin/api.ts	1	§6.7; auch …/:code
/api/admin/einstellungen	/api/admin/settings	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7
/api/admin/einstellungen	/api/admin/settings	api-pfad	server/src/routes/admin.ts; src/admin/api.ts	1	§6.7
/api/admin/mailvorlagen	/api/admin/mail-templates	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7; inkl. /:schluessel→/:key, /test, /vorschau→/preview
/api/admin/mailvorlagen	/api/admin/mail-templates	api-pfad	server/src/routes/admin.ts; src/admin/api.ts	1	§6.7; auch …/:schluessel→…/:key, …/vorschau→…/preview, …/test bleibt
/api/admin/protokoll	/api/admin/audit-log	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7
/api/admin/protokoll	/api/admin/audit-log	api-pfad	server/src/routes/admin.ts; src/admin/api.ts	1	§6.7
/api/admin/rueckmeldungen	/api/admin/feedback	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7; inkl. /:id
/api/admin/rueckmeldungen	/api/admin/feedback	api-pfad	server/src/routes/rueckmeldungen.ts; src/admin/api.ts	1	§6.7; auch …/:id
/api/admin/statistiken	/api/admin/stats	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7
/api/admin/warteliste	/api/admin/waitlist	api-pfad	server/src/routes/admin.ts; src/admin/	1	§6.7; inkl. /:id/einladen→/:id/invite
/api/admin/warteliste	/api/admin/waitlist	api-pfad	server/src/routes/warteliste.ts; src/admin/api.ts	1	§6.7; auch …/:id und …/:id/einladen→…/:id/invite
/api/audio-bibliothek	/api/audio-library	api-pfad	server/src/routes/bibliothek.ts; src/studio/	1	§6.7; inkl. /:datei→/:file
/api/audio-bibliothek	/api/audio-library	api-pfad	server/src/routes/bibliothek.ts; src/studio/api.ts; src/studio/editor.ts	1	§6.7; auch …/:datei→…/:file (GET/PUT/DELETE)
/api/auth/einladung-pruefen	/api/auth/check-invitation	api-pfad	server/src/routes/auth.ts; src/studio/	1	§6.7
/api/auth/einladung-pruefen	/api/auth/check-invitation	api-pfad	server/src/routes/auth.ts; src/studio/api.ts	1	§6.7
/api/auth/email-bestaetigen	/api/auth/confirm-email	api-pfad	server/src/routes/auth.ts	1	§6.7
/api/auth/email-bestaetigen	/api/auth/confirm-email	api-pfad	server/src/routes/auth.ts; src/konto/konto.ts	1	§6.7; Link-Ziel /konto#email=<token>, der Fragment-Schluessel #email= bleibt (§3.4)
/api/auth/me/geraete	/api/auth/me/devices	api-pfad	server/src/routes/auth.ts; src/konto/	1	§6.7; inkl. /:id
/api/auth/me/geraete	/api/auth/me/devices	api-pfad	server/src/routes/auth.ts; src/konto/konto.ts	1	§6.7; auch DELETE …/devices/:id
/api/auth/me/passwort	/api/auth/me/password	api-pfad	server/src/routes/auth.ts; src/konto/	1	§6.7
/api/auth/me/passwort	/api/auth/me/password	api-pfad	server/src/routes/auth.ts; src/konto/kontodialoge.ts	1	§6.7
/api/auth/me/profil	/api/auth/me/profile	api-pfad	server/src/routes/auth.ts; src/konto/; android	1	§6.7; alte App: 404 im Deploy-Fenster
/api/auth/me/profil	/api/auth/me/profile	api-pfad	server/src/routes/auth.ts; src/konto/konto.ts; src/profil/profilbearbeiten.ts; android ApiClient.kt	1	§6.7; App-Aufrufer: alte App faellt im Deploy-Fenster auf 404
